hsa-let-7a,MIMAT0000062
hsa-miR-1539,MIMAT0007401
hsa-miR-154,MIMAT0000452
hsa-miR-154-3p,MIMAT0000453
hsa-miR-155,MIMAT0000646
hsa-miR-155-3p,MIMAT0004658
hsa-miR-15a,MIMAT0000068
hsa-miR-15a-3p,MIMAT0004488
hsa-miR-15b,MIMAT0000417
hsa-miR-15b-3p,MIMAT0004586
hsa-miR-16,MIMAT0000069
hsa-miR-16-1-3p,MIMAT0004489
hsa-miR-16-2-3p,MIMAT0004518
hsa-miR-17,MIMAT0000070
hsa-miR-17-3p,MIMAT0000071
hsa-miR-181a,MIMAT0000256
hsa-miR-181a-3p,MIMAT0000270
hsa-miR-181a-2-3p,MIMAT0004558
hsa-miR-181b,MIMAT0000257
hsa-miR-181c,MIMAT0000258
hsa-miR-181c-3p,MIMAT0004559
hsa-miR-181d,MIMAT0002821
hsa-miR-182,MIMAT0000259
hsa-miR-182-3p,MIMAT0000260
hsa-miR-1825,MIMAT0006765
hsa-miR-1827,MIMAT0006767
hsa-miR-183,MIMAT0000261
hsa-miR-183-3p,MIMAT0004560
hsa-miR-184,MIMAT0000454
hsa-miR-185,MIMAT0000455
hsa-miR-185-3p,MIMAT0004611
hsa-miR-186,MIMAT0000456
hsa-miR-186-3p,MIMAT0004612
hsa-miR-187,MIMAT0000262
hsa-miR-187-3p,MIMAT0004561
hsa-miR-188-3p,MIMAT0004613
hsa-miR-188-5p,MIMAT0000457
hsa-miR-18a,MIMAT0000072
hsa-miR-18a-3p,MIMAT0002891
hsa-miR-18b,MIMAT0001412
hsa-miR-18b-3p,MIMAT0004751
hsa-miR-190,MIMAT0000458
hsa-miR-1908,MIMAT0007881
hsa-miR-1909,MIMAT0007883
hsa-miR-1909-3p,MIMAT0007882
hsa-miR-190b,MIMAT0004929
hsa-miR-191,MIMAT0000440
hsa-miR-191-3p,MIMAT0001618
hsa-miR-1910,MIMAT0007884
hsa-miR-1911,MIMAT0007885
hsa-miR-1911-3p,MIMAT0007886
hsa-miR-1912,MIMAT0007887
hsa-miR-1913,MIMAT0007888
hsa-miR-1914,MIMAT0007889
hsa-miR-1914-3p,MIMAT0007890
hsa-miR-1915,MIMAT0007892
hsa-miR-1915-3p,MIMAT0007891
hsa-miR-192,MIMAT0000222
hsa-miR-192-3p,MIMAT0004543
hsa-miR-193a-3p,MIMAT0000459
hsa-miR-193a-5p,MIMAT0004614
hsa-miR-193b,MIMAT0002819
hsa-miR-193b-3p,MIMAT0004767
hsa-miR-194,MIMAT0000460
hsa-miR-194-3p,MIMAT0004671
hsa-miR-195,MIMAT0000461
hsa-miR-195-3p,MIMAT0004615
hsa-miR-196a,MIMAT0000226
hsa-miR-196a-3p,MIMAT0004562
hsa-miR-196b,MIMAT0001080
hsa-miR-196b-3p,MIMAT0009201
hsa-miR-197,MIMAT0000227
hsa-miR-1972,MIMAT0009447
hsa-miR-1973,MIMAT0009448
hsa-miR-1976,MIMAT0009451
hsa-miR-198,MIMAT0000228
hsa-miR-199a-3p,MIMAT0000232
hsa-miR-199a-5p,MIMAT0000231
hsa-miR-199b-3p,MIMAT0004563
hsa-miR-199b-5p,MIMAT0000263
hsa-miR-19a,MIMAT0000073
hsa-miR-19a-3p,MIMAT0004490
hsa-miR-19b,MIMAT0000074
hsa-miR-19b-1-3p,MIMAT0004491
hsa-miR-19b-2-3p,MIMAT0004492
hsa-miR-200a,MIMAT0000682
hsa-miR-200a-3p,MIMAT0001620
hsa-miR-200b,MIMAT0000318
hsa-miR-200b-3p,MIMAT0004571
