pat1,pat2,pat3,pat4,pat5,pat6,pat7,pat8,pat9,pat10,pat11,pat12,pat13,pat14,pat15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10373.7,9844.91,7201.84,2939.04,9586.96,10537,30151.2,14153.1,7462.87,3314.12,7311.62,9483.45,6918.39,8673.69,8002.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
144568,54.755,0,1.7775,49.574,1.1177,2.8079,4.5586,29.2383,33.2981,0,5.0891,58.8592,4.5249,327.445,8.5987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
53947,190.682,198.899,75.2481,374.903,1556.42,177.698,1252.8,389.617,614.693,3125.77,292.621,140.777,191.177,172.603,124.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
51146,0,0,2.37,0.7746,0.5589,0,0,0,0,0.4456,0.6361,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
404744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
8086,2225.26,1509.46,1259.67,2993.8,1186.45,2258.72,1222.96,1541.81,2508.46,735.658,2080.79,1472.09,1296.38,1492.42,1816.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
65985,1266.09,981.613,5182.05,967.467,1479.29,5314.08,537.091,2526.73,2354.65,1120.64,513.359,746.359,3510.75,1205.91,1254.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
729522,0,0.4026,0,3.0984,0,0,0,0,4.2283,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
13,0,1.2079,107.243,149.496,317.431,2.8079,0,0,244.186,1.3367,33.0789,35.801,39.0271,40.9306,1409.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
344752,0,0,0,0,1.6766,0,0,0,0.5285,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
126767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
343066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
51166,121.037,31.0025,39.1053,98.3734,19.56,30.8865,145.462,102.674,30.6554,19.1601,85.2417,131.068,27.1493,20.8514,59.6534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
79719,1327.09,1271.1,1090.8,925.639,1027.74,1478.14,1099.88,864.57,2126.85,852.401,1479.64,848.301,1026.02,1165.75,1510.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
22848,868.876,1627.03,1158.35,646.785,1238.99,1516.25,1363.86,1059.72,1011.63,552.969,1190.2,1258.5,1359.16,1206.68,1257.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
14,2636.41,1931.02,2408.53,1350.89,3605.18,4917.77,2620.39,2464.86,2391.12,2923.47,2327.61,1909.59,3156.11,2045.76,2907.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
15,1.4409,0,0,1.5492,0,0,1.2433,0,0,0,0,0.6068,0,0.7723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
16,3520.65,5470.94,4042.66,2738.96,2996.59,4835.54,5871.53,5155.46,3197.15,3755.82,3801.53,8345.87,3840.5,5004.34,8194.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
57505,299.712,408.666,291.512,533.687,414.102,643.394,1171.99,342.697,804.937,655.007,513.995,370.746,824.661,416.252,499.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
